08.05.2026 - https://youtube.com/live/3X9hnsKE2fE:
5:50 - Наташа, ИО, скип
10:42 - Оля, ИО, скип
13:25 - Оля, ИО, скип
17:30 - Оля, ЗТК, локация
18:00 - Раис и Антон, ЗТК, сейв
24:15 - Наташа, ЗТК, лужа
30:20 - Оля, ЗТК, скип
31:50 - Раис, ЗТК, сейв
38:30 - Саша, ЗТК, луч
48:40 - Антон, ЗТК, лужа
54:35 - Наташа и Саша, ЗТК, луч
55:00 - Антон, ЗТК, луч
1:11:32 - Наташа, ЗТК, скип
1:19:15 - Раис, ЗТК, сейв
1:24:40 - Антон, ОФ, защ
1:33:47 - Саша и Наташа и Тема, ОФ, сейв
1:37:40 - Антон, ОФ, конус 
1:40:40 - Антон, ОФ, сейв
1:46:15 - Оля, ОФ, сейв
1:47:10 - Саша, ОФ, рано
1:52:50 - Наташа, ОФ, локация
2:07:20 - Наташа, ОФ, сейв
