Дата;Стрим;Время;Игрок;Остров;Причина;Строка источника
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;5:50;Наташа;ИО;скип;2
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;10:42;Оля;ИО;скип;3
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;13:25;Оля;ИО;скип;4
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;17:30;Оля;ЗТК;локация;5
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;18:00;Раис;ЗТК;сейв;6
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;18:00;Антон;ЗТК;сейв;6
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;24:15;Наташа;ЗТК;лужа;7
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;30:20;Оля;ЗТК;скип;8
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;31:50;Раис;ЗТК;сейв;9
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;38:30;Саша;ЗТК;луч;10
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;48:40;Антон;ЗТК;лужа;11
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;54:35;Наташа;ЗТК;луч;12
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;54:35;Саша;ЗТК;луч;12
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;55:00;Антон;ЗТК;луч;13
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:11:32;Наташа;ЗТК;скип;14
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:19:15;Раис;ЗТК;сейв;15
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:24:40;Антон;ОФ;защ;16
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:33:47;Саша;ОФ;сейв;17
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:33:47;Наташа;ОФ;сейв;17
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:33:47;Тема;ОФ;сейв;17
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:37:40;Антон;ОФ;конус;18
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:40:40;Антон;ОФ;сейв;19
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:46:15;Оля;ОФ;сейв;20
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:47:10;Саша;ОФ;рано;21
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;1:52:50;Наташа;ОФ;локация;22
08.05.2026;https://youtube.com/live/3X9hnsKE2fE;2:07:20;Наташа;ОФ;сейв;23
